"districtid","hasMetro","busStopDensity","stopsWithinMetroService","streetDensity","collectorStreetDensity","mainRoadDensity","highWayDensity","busRouteDensity","lineOverlapFactor","peopleDensity","developLevel","developLevelWithinBusService","busAccessibility","laggingIndex","weiboSignin","number","number_level","1","2","3","4","5","index","leafIndex"
57,0,3.516113537,0,0.183902569,0.987262792,0,0,8.239363761,6.94072636,6469.868554,-0.330251225,-0.410180261,11507.79098,3.757934462,320,216,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
58,1,8.06913202,25,2.597867345,3.266348196,0.580982186,0,22.43347682,25.06153303,23855.95328,-0.281648005,0.107695327,6932.227682,2.416896139,12393,1571,5,0,0,0,0.75,0.25,4,7
59,1,20.5644954,25,8.108211191,0,2.240795618,0,135.2017221,53.48169442,27631.79026,-0.175324501,-0.207924981,7162.381246,3.873627488,2480,1219,5,0,0.137931034482759,0.0344827586206897,0.206896551724138,0.620689655172414,5,5
60,1,32.47012748,33,5.989780837,0.883072699,1.380837781,0,93.14101637,27.65463069,24043.51961,0.373365023,0.614510931,7084.985969,4.015030559,2403,1159,5,0,0.0714285714285714,0.0714285714285714,0.128571428571429,0.728571428571429,5,1
61,0,4.256238077,0,2.099303138,1.02778753,0,0.686453369,30.38368721,11.62361008,5893.802418,0.250332708,0.295979981,9739.656442,4.172080028,12659,426,2,0.0952380952380952,0.428571428571429,0.238095238095238,0.0952380952380952,0.142857142857143,2,8
62,0,1.993201955,0,2.858799892,0.324850567,0.093224289,0,3.988749732,5.643720141,1382.755642,-0.311103588,-0.369045756,10033.85929,4.169753873,1514,605,3,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
63,0,0.448078661,0,0.456475824,0,0.163554663,0.343005289,0.605412476,7.158227611,373.9278681,-0.332672821,-0.408473735,8584.187586,4.318053521,30,887,4,0.533333333333333,0,0.2,0.2,0.0666666666666667,1,9
64,0,6.288434312,0,0.190585621,0.660115741,0.477906869,0,8.160508471,4.236519158,6128.42958,-0.32762997,-0.39696668,7810.544399,3.4536835,354,907,4,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
65,1,4.844672062,19,0.095774615,0.201743806,0.985095046,0,17.4372956,11.52127663,5450.034963,-0.324268182,-0.384950766,10027.93936,4.844256033,856,963,4,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
66,1,4.459521505,17,0,0.277786346,0.572275778,0.142774988,19.78553709,13.90171219,5323.022249,-0.301651418,-0.391832797,8186.844262,3.982217677,625,494,2,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
67,0,6.370581634,0,0,0,1.363011489,0,33.78956559,15.64231365,4869.586823,-0.328554026,-0.408962147,10440.52288,4.10988493,112,113,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
68,0,6.347726933,0,0,0,0,0,14.0907824,6.663724437,6493.8817,-0.319960318,-0.389395775,11978.84939,4.134439994,130,126,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
69,0,8.352625264,0,0.452591247,0,0,0,18.28941814,7.52483494,7397.93135,-0.286230829,-0.370477307,11572.56865,4.110172804,780,284,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
