districtid,hasMetro,busStopDensity,stopsWithinMetroService,streetDensity,collectorStreetDensity,mainRoadDensity,highWayDensity,roadDensity,busRouteDensity,lineOverlapFactor,peopleDensity,developLevel,developLevelWithinBusService,busAccessibility,laggingIndex,weiboSignin,number,number_level,1,2,3,4,index,leafIndex
33,0,7.163548997,0,0.653323271,0.130283743,0.816236267,0,1.599843281,20.6545926,11.69499562,7261.795217,-0.311832411,-0.380929292,8548.379346,3.333313832,1418,330.8705882,2,0.268656716,0.537313433,0.141791045,0.052238806,2,2
34,0,5.807456067,0,0.255242025,0.353730362,0,0,0.608972387,10.25260279,8.007933166,8516.361566,-0.25915139,-0.198493225,8966.715646,4.585442772,1678,141.3928571,1,0.268656716,0.537313433,0.141791045,0.052238806,2,2
35,0,4.199780379,0,0.143654919,0.090092342,0,0,0.233747261,5.510037507,7.062709033,4107.346658,-0.32851431,-0.409499341,9030.998299,4.299533662,3361,157.4189944,1,0.268656716,0.537313433,0.141791045,0.052238806,2,2
36,0,6.259345383,0,0.100439448,0.144384432,0,0.227016971,0.471840851,4.377460216,2.739815358,9032.122883,-0.273938615,-0.403331451,8496.870068,4.257967373,1465,257.5,2,0.268656716,0.537313433,0.141791045,0.052238806,2,2
38,0,10.99462509,0,0,0.592805152,0,0.227180153,0.819985305,16.56454093,6.866945607,8154.644236,-0.321060975,-0.333278052,8699.454422,4.733085249,398,175.2840909,1,0.268656716,0.537313433,0.141791045,0.052238806,2,2
41,0,3.041482784,0,0.107800841,0.272274997,0.555044144,0.75956821,1.694688192,28.51953055,28.63467091,7241.220727,-0.323876682,-0.381747304,6089.927062,3.749978843,405,354.8059701,2,0.027027027,0.675675676,0.189189189,0.108108108,2,3
42,0,3.01915275,0,0.474116005,0.219651669,0.161121026,0.575891274,1.430779974,18.29031625,13.14499429,5232.112046,-0.314304396,0.810925268,7524.506122,4.099089652,166,348.5982143,2,0.027027027,0.675675676,0.189189189,0.108108108,2,3
43,0,6.033063871,0,2.341882135,0.116565316,0.132690962,0.506111511,3.097249924,23.6593409,14.96491784,5869.388055,-0.1047417,-0.180162997,6955.942517,3.891228515,6043,395.4653465,2,0.027027027,0.675675676,0.189189189,0.108108108,2,3
44,0,0.178923738,0,0.405064897,0.092729726,0,0.072824796,0.570619419,1.099274862,8.744116166,159.4045072,-0.332603275,-0.411240899,34935.02784,9.722940033,32,80.83333333,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
45,0,2.178249309,0,3.110959168,0.781611746,0,0.731023888,4.623594802,10.32229376,7.7678124,720.0309424,-0.327954111,-0.405897624,11313.23639,4.071789208,173,115.8461538,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
46,0,3.874483106,0,0.431685031,0.6991531,0,0.237547302,1.368385433,13.69008372,5.644419253,3310.266969,-0.317441706,-0.391150447,11506.03825,3.911870881,2689,132.3414634,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
47,0,0.072949599,0,0.095963206,0,0,0.124683522,0.220646728,0,0,163.450601,-0.332662668,-0.403969662,14655.14842,4.333734211,1,127.5,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
49,0,0.453768603,0,1.146400903,0.080546606,0,0.092556086,1.319503595,0.732019062,4.797896067,277.817799,-0.321960262,-0.393157271,11254.4297,4.616207962,907,27.83333333,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
50,0,0.295009513,0,0.126543415,0.086865338,0.003804718,0,0.217213471,0.931085281,7.117628207,931.0363564,-0.330586821,-0.379298189,12382.32784,3.907232503,652,175.2439024,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
51,0,0.277879634,0,0.549957765,0.332448086,0.023589703,0.076456771,0.982452325,2.572610931,20.3395105,640.0021174,-0.28793021,-0.281448169,12342.60625,3.979230802,9652,300,2,0.744680851,0.14893617,0.063829787,0.042553191,1,1
52,0,0.07687061,0,0.108087311,0,0.175906863,0,0.283994174,1.982425944,13.61688362,700.1364455,-0.332493251,-0.410482746,11993.44877,3.543278221,13,691.75,4,0.744680851,0.14893617,0.063829787,0.042553191,1,1
53,0,8.166663856,0,0.193604902,1.337034836,0,0,1.530639738,24.51636745,13.82574786,8024.473938,-0.264344059,-0.341722109,10570.22427,3.793075464,4410,137.0128205,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
54,0,0.669660832,0,0,0.276938855,0,0,0.276938855,1.450115435,42.93023155,1027.673058,-0.32119761,-0.370116604,11466.48668,3.695871381,153,134.7659574,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
55,0,0.134112887,0,0.123054743,0.081222543,0,0,0.204277286,0.978228161,11.56096894,184.1494703,-0.332672821,-0.413252907,11740.78707,3.951020863,27,160.25,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
56,0,6.604492376,0,0,0,0.108748697,0,0.108748697,12.37397708,9.229969476,7501.839843,-0.332672821,-0.405082982,10698.33537,3.852525006,1,113.8333333,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
57,0,3.516113537,0,0.183902569,0.987262792,0,0,1.171165361,8.239363761,6.94072636,6469.868554,-0.330251225,-0.410180261,11507.79098,3.757934462,320,123.2830189,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
61,0,4.256238077,0,2.099303138,1.02778753,0,0.686453369,3.813544037,30.38368721,11.62361008,5893.802418,0.250332708,0.295979981,9739.656442,4.172080028,12659,222,2,0.268656716,0.537313433,0.141791045,0.052238806,2,2
